"Subject","Topic","Difficulty","Question","Answer","Explanation","SpecReference"
"Mathematics","Number - Types of Numbers","Easy","Which of the following is a prime number? A) 9  B) 15  C) 17  D) 21","C) 17","17 has exactly two factors: 1 and 17. 9=3x3; 15=3x5; 21=3x7.","0580/1.1"
"Mathematics","Number - Standard Form","Easy","Write 47 000 in standard form.","4.7 x 10^4","Move the decimal point 4 places to the left to obtain a number between 1 and 10.","0580/1.7"
"Mathematics","Number - Fractions","Easy","Calculate 3/4 + 1/6.","11/12","LCM of 4 and 6 is 12. 3/4=9/12 and 1/6=2/12. Sum = 11/12.","0580/1.3"
"Mathematics","Number - Percentages","Easy","Find 30% of 350.","105","30% = 0.30. So 0.30 x 350 = 105.","0580/1.4"
"Mathematics","Number - Ratio","Easy","Simplify the ratio 36 : 48.","3 : 4","HCF of 36 and 48 is 12. 36/12=3 and 48/12=4.","0580/1.5"
"Mathematics","Number - Decimals","Easy","Write 7/8 as a decimal.","0.875","Divide 7 by 8: 7 ÷ 8 = 0.875.","0580/1.3"
"Mathematics","Number - Percentages","Medium","A price increases from $240 to $288. Calculate the percentage increase.","20%","Increase = $48. Percentage = (48/240) x 100 = 20%.","0580/1.4"
"Mathematics","Number - Percentages","Medium","After a 25% increase the price is $75. Find the original price.","$60","$75 represents 125% of original. Original = 75 / 1.25 = $60.","0580/1.4"
"Mathematics","Number - Standard Form","Medium","Calculate (3.2 x 10^5) x (2.5 x 10^3). Give your answer in standard form.","8.0 x 10^8","3.2 x 2.5 = 8.0 and 10^5 x 10^3 = 10^8.","0580/1.7"
"Mathematics","Number - Multiples and Factors","Medium","Find the LCM of 15 and 20.","60","15 = 3x5; 20 = 2^2 x 5. LCM = 2^2 x 3 x 5 = 60.","0580/1.1"
"Mathematics","Number - Bounds","Medium","A length is measured as 6.5 cm to 1 d.p. Write down the upper bound.","6.55 cm","Upper bound = 6.5 + 0.05 = 6.55 cm.","0580/1.8"
"Mathematics","Number - Ratio","Medium","Share $630 in the ratio 2 : 3 : 4.","$140 : $210 : $280","Total parts = 9. Each part = $70. Parts: 2x70=$140; 3x70=$210; 4x70=$280.","0580/1.5"
"Mathematics","Number - Standard Form","Medium","Calculate (6.4 x 10^-3) - (2.5 x 10^-4). Give answer in standard form.","6.15 x 10^-3","6.4 x 10^-3 - 0.25 x 10^-3 = 6.15 x 10^-3.","0580/1.7"
"Mathematics","Number - Prime Factors","Medium","Write 180 as a product of prime factors.","2^2 x 3^2 x 5","180 = 2 x 90 = 4 x 45 = 4 x 9 x 5 = 2^2 x 3^2 x 5.","0580/1.1"
"Mathematics","Number - Compound Interest","Hard","A car worth $15 000 depreciates at 12% per year. Find its value after 3 years to the nearest dollar.","$10 222","Value = 15000 x (0.88)^3 = 15000 x 0.681472 = $10 222.","0580/1.4"
"Mathematics","Number - Percentages","Hard","A price is increased by 20% then decreased by 20%. Find the overall percentage change.","4% decrease","1.20 x 0.80 = 0.96. Overall change = -4%.","0580/1.4"
"Mathematics","Number - Bounds","Hard","A rectangle has length 12.5 cm and width 8.3 cm both to 1 d.p. Find the lower bound of the area.","102.7125 cm^2","Lower bound = 12.45 x 8.25 = 102.7125 cm^2.","0580/1.8"
"Mathematics","Number - Proportion","Hard","y is directly proportional to x^2. When x=3, y=54. Find y when x=2.","24","y = kx^2. 54 = 9k so k = 6. When x=2: y = 6 x 4 = 24.","0580/2.8"
"Mathematics","Algebra - Expanding","Easy","Expand and simplify 3(2x - 5).","6x - 15","Multiply each term by 3: 3 x 2x = 6x and 3 x (-5) = -15.","0580/2.1"
