Subject,Topic,Difficulty,Question,Answer,Explanation,EdexcelSpecReference
Biology,Biological Molecules,extended,A student investigated the effect of pH on amylase activity using starch. Explain why there is an optimum pH for amylase activity.,"At the optimum pH, the active site has the ideal shape/charge distribution to bind the starch substrate most effectively. If pH is too low or too high, H⁺ or OH⁻ ions interfere with the ionic and hydrogen bonds that maintain the enzyme's tertiary structure, changing the shape of the active site so substrate cannot bind effectively.",pH affects the ionisation of R-groups in the active site and the hydrogen bonds maintaining tertiary structure. Salivary amylase has optimum pH ~7 (neutral); stomach would denature it at pH 2.,4BI1/B2
Biology,Biological Molecules,foundation,"Describe what is meant by an enzyme being ""denatured"".","The enzyme's active site changes shape permanently due to high temperature or extreme pH, so the substrate can no longer fit. The enzyme cannot function and the reaction rate falls to zero.",Denaturation is irreversible shape change of the active site. Excess heat breaks hydrogen bonds holding the tertiary structure. This is different from just slowing down — the enzyme is permanently non-functional.,4BI1/B2
Biology,Biological Molecules,foundation,"What is the chemical test for starch, and what is a positive result?","The iodine test. Add iodine solution (yellow-brown) to the sample. A positive result is a blue-black colour change, indicating starch is present.","Iodine molecules become trapped inside the helical structure of starch molecules, causing the colour change to blue-black. If no starch is present, the solution remains yellow-brown.",4BI1/B2
Biology,Biological Molecules,foundation,State the building blocks (monomers) of proteins.,Amino acids,"Proteins are polymers made of long chains of amino acids joined by peptide bonds. There are 20 different amino acids, and the sequence determines the protein's shape and function.",4BI1/B2
Biology,Biological Molecules,higher,"Explain why increasing the temperature from 20°C to 35°C increases enzyme activity, but increasing from 35°C to 60°C decreases activity.",From 20°C to 35°C: more kinetic energy → more frequent enzyme-substrate collisions → higher reaction rate. Above the optimum (~37°C): excessive heat breaks bonds maintaining enzyme shape → active site distorts → enzyme denatures → activity falls.,"Two competing effects: (1) more heat = faster molecules = more successful collisions (positive, up to optimum); (2) beyond optimum, heat breaks hydrogen bonds maintaining tertiary structure, destroying the active site shape.",4BI1/B2
Biology,Biological Molecules,higher,Explain how an enzyme catalyses a reaction using the lock-and-key model.,"The enzyme has a specific active site shape. The substrate molecule (with a complementary shape) binds to the active site, forming an enzyme-substrate complex. The enzyme lowers the activation energy needed for the reaction, products are released, and the enzyme is unchanged and can be reused.","Lock-and-key: specific active site = lock, specific substrate = key. The enzyme is a biological catalyst — it speeds up the reaction by lowering activation energy, and remains unchanged at the end.",4BI1/B2
Biology,Cells,extended,A student looked at a cell under a microscope. The image was 24 mm wide. The actual cell was 0.03 mm wide. Calculate the magnification and state the formula used.,Magnification = image size ÷ actual size = 24 ÷ 0.03 = ×800,Magnification = image size / actual size = 24 mm / 0.03 mm = 800. The cell is magnified 800 times. Students must show the formula and correct calculation.,4BI1/B1
Biology,Cells,foundation,Describe what happens during mitosis.,"The chromosomes are copied and the cell divides to produce two genetically identical daughter cells, each with the same number of chromosomes as the parent cell.","In mitosis: DNA replication occurs, chromosomes align at the centre, copies are pulled to opposite poles, and two identical cells form. Used for growth and repair.",4BI1/B1
Biology,Cells,foundation,State the function of the nucleus in a cell.,The nucleus controls the activities of the cell and contains the genetic material (DNA) which carries the instructions for making proteins.,The nucleus acts as the control centre. It contains chromosomes made of DNA which carry genes — the instructions for making proteins and controlling cell processes.,4BI1/B1
Biology,Cells,foundation,State THREE structures found in plant cells but NOT in animal cells.,"Cell wall (made of cellulose), chloroplasts, large permanent vacuole.","Plant cells have these three additional structures. The cell wall provides rigidity, chloroplasts carry out photosynthesis, and the large vacuole maintains turgor pressure.",4BI1/B1
